Stim	Stim	Stim	Stim	Control	Control	Control	Control
X_start	Y_start	X_Comp	Y_Comp	X_start	Y_start	X_Comp	Y_Comp
1.234	7.635	-10.059	-1.05	1.254	-5.784	4.636	-22.255
-9.551	-11.824	-12.403	-0.934	-7.155	4.325	-8.52	-20.097
19.665	7.597	-18.527	0.65	-1.012	11.01	3.013	-12.241
-5.468	8.099	-14.875	0.689	-6.975	5.8	5.724	-11.405
-8.9	6.888	-11.167	0.844	10.63	0.494	-1.63	-7.7
10.346	8.704	-15.589	1.726	-4.341	-24.298	16.344	-7.277
1.054	13.141	-15.049	1.99	-5.694	-21.973	2.802	-3.954
3.553	6.695	-14.946	2.433	-22.623	12.723	17.541	-0.747
1.788	8.498	-9.054	2.447	0.912	11.454	2.975	0.837
-6.325	-5.262	-12.763	2.576	13.495	18.499	14.359	2.66
18.744	8.221	-14.721	2.627	-6.202	10.437	20.715	3.671
-0.922	6.534	-7.54	2.685	-0.246	0.153	-8.288	6.304
-10.208	-8.366	-11.256	2.704	-5.616	-2.48	7.006	10.947
-5.565	-1.74	-8.898	2.853	-2.931	4.081	2.782	15.236
-9.332	9.026	-12.139	2.892				
-5.481	14.835	-13.529	3.027				
-13.382	-4.309	-15.048	3.104				
-4.142	-1.463	-12.146	3.117				
-1.199	-3.427	-13.548	3.388				
-8.759	-4.766	-15.989	3.478				
-8.34	-12.687	-15.887	3.542				
-6.009	9.039	-15.558	3.864				
-2.448	4.358	-10.309	4.289				
7.011	6.347	-14.315	4.566				
13.508	17.952	-14.96	4.984				
-8.244	1.357	-14.064	5.138				
-1.128	3.559	-12.924	5.247				
19.343	6.328	-13.284	5.513				
-3.446	8.775	-11.624	5.822				
3.36	12.845	-9.537	6.221				
-2.718	-14.909	-9.905	6.67				
