Time	SaccadeCountsStim	SaccadeCountsControl
-97.5	0	0
-92.5	0	1
-87.5	1	1
-82.5	0	1
-77.5	0	0
-72.5	0	1
-67.5	0	1
-62.5	0	0
-57.5	0	0
-52.5	1	0
-47.5	1	0
-42.5	0	1
-37.5	0	2
-32.5	1	1
-27.5	0	0
-22.5	1	0
-17.5	1	0
-12.5	0	1
-7.5	3	0
-2.5	0	0
2.5	0	0
7.5	0	2
12.5	0	0
17.5	0	0
22.5	1	0
27.5	1	2
32.5	5	1
37.5	4	1
42.5	3	0
47.5	2	1
52.5	3	0
57.5	1	1
62.5	1	0
67.5	1	1
72.5	0	0
77.5	1	4
82.5	1	1
87.5	0	0
92.5	0	0
97.5	1	0
102.5	0	1
107.5	0	0
112.5	1	0
117.5	2	0
122.5	0	1
127.5	0	1
132.5	0	0
137.5	1	0
142.5	0	1
147.5	0	0
152.5	0	0
157.5	0	0
162.5	0	0
167.5	1	0
172.5	0	0
177.5	0	0
182.5	0	1
187.5	1	1
192.5	0	0
197.5	0	0
202.5	0	0
