Control	Control	Control	Control	Control	Control	Control						
37	NaN	NaN	NaN	NaN	NaN	NaN
-87	NaN	NaN	NaN	NaN	NaN	NaN
81	NaN	NaN	NaN	NaN	NaN	NaN
-37	NaN	NaN	NaN	NaN	NaN	NaN
-67	NaN	NaN	NaN	NaN	NaN	NaN
141	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN
33	NaN	NaN	NaN	NaN	NaN	NaN
77	NaN	NaN	NaN	NaN	NaN	NaN
57	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN
-72	NaN	NaN	NaN	NaN	NaN	NaN
175	NaN	NaN	NaN	NaN	NaN	NaN
-13	NaN	NaN	NaN	NaN	NaN	NaN
28	NaN	NaN	NaN	NaN	NaN	NaN
77	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN
76	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN
121	NaN	NaN	NaN	NaN	NaN	NaN
-41	125	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN
-91	-82	104	120	130	NaN	NaN
-40	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN
47	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	NaN	NaN	NaN	NaN	NaN	NaN
-33	NaN	NaN	NaN	NaN	NaN	NaN
9	NaN	NaN	NaN	NaN	NaN	NaN
78	NaN	NaN	NaN	NaN	NaN	NaN
28	NaN	NaN	NaN	NaN	NaN	NaN
182	NaN	NaN	NaN	NaN	NaN	NaN
-36	NaN	NaN	NaN	NaN	NaN	NaN
-50	186	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN
127	NaN	NaN	NaN	NaN	NaN	NaN
67	NaN	NaN	NaN	NaN	NaN	NaN
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
