Theta	ProportionOfSaccades_Control_MonkeyR	ProportionOfSaccades_Control_MonkeyA	ProportionOfSaccades_Stim_MonkeyR	ProportionOfSaccades_Stim_MonkeyA
0.589048623	0.057971014	0.054726368	0.051162791	0.004955401
0.981747704	0.057971014	0.052238806	0.111627907	0.008919722
1.374446786	0.031884058	0.042288557	0.269767442	0.032705649
1.767145868	0.066666667	0.072139303	0.255813953	0.266600595
2.159844949	0.057971014	0.084577114	0.072868217	0.43012884
2.552544031	0.055072464	0.034825871	0.040310078	0.150644202
2.945243113	0.113043478	0.07960199	0.055813953	0.042616452
3.337942194	0.086956522	0.084577114	0.017054264	0.014866204
3.730641276	0.060869565	0.029850746	0.00620155	0.003964321
4.123340358	0.046376812	0.042288557	0.00620155	0.005946482
4.51603944	0.055072464	0.072139303	0.009302326	0.003964321
4.908738521	0.052173913	0.077114428	0.010852713	0.008919722
5.301437603	0.066666667	0.027363184	0	0.002973241
5.694136685	0.066666667	0.082089552	0.013953488	0.004955401
6.086835766	0.04057971	0.087064677	0.027906977	0.006937562
0.196349541	0.084057971	0.077114428	0.051162791	0.010901883
0.589048623	0.057971014	0.054726368	0.051162791	0.004955401
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
						
