Time	Control_R	Control_A	Stim_R	Stim_A
-97.5	2.455357143	3.817902528	0.892857143	1.682096781
-92.5	2.651975684	4.690957191	2.767857143	2.959158328
-87.5	1.00018997	4.527106705	2.081980519	4.060947078
-82.5	2.785904255	2.866452544	1.830357143	3.16067321
-77.5	1.473214286	2.231531909	1.205357143	3.834776335
-72.5	2.339475684	4.317871495	1.964285714	3.586858686
-67.5	2.071618541	3.243727599	1.875	3.515213934
-62.5	1.5625	3.642376142	1.607142857	2.735493104
-57.5	1.919642857	2.307599808	2.232142857	2.696310615
-52.5	0.758928571	3.203463203	1.948051948	2.222222222
-47.5	1.428571429	3.834776335	2.528409091	4.546959965
-42.5	1.268047112	4.073763751	1.517857143	4.953511159
-37.5	1.955737082	3.050435228	2.053571429	4.121779859
-32.5	2.026975684	2.380952381	1.769480519	3.56411168
-27.5	1.5625	4.495841673	1.517857143	3.523434311
-22.5	0.892857143	2.627465127	1.546266234	3.144646432
-17.5	2.455357143	2.925375103	2.483766234	4.139812108
-12.5	1.401975684	5.471070148	2.366071429	5.022553778
-7.5	1.741071429	1.246993747	2.362012987	4.787060673
-2.5	1.473214286	3.285233285	2.098214286	3.400273868
2.5	0.714285714	3.816118171	2.098214286	1.889735226
7.5	2.223594225	2.37012987	1.964285714	3.906835063
12.5	1.5625	1.437881115	2.723214286	3.475031344
17.5	1.964285714	1.820276498	2.544642857	4.33395295
22.5	1.160714286	3.537758538	2.305194805	8.171724315
27.5	2.178951368	2.469627147	5.340909091	20.54191133
32.5	1.893047112	2.39266707	6.481331169	11.94785345
37.5	1.803761398	2.658730159	5.560064935	11.10940192
42.5	1.5625	3.198032553	5.75487013	7.32463059
47.5	1.491261398	2.950937951	4.833603896	7.129820125
52.5	2.321428571	2.267917268	4.50487013	4.816420752
57.5	1.580547112	1.961279461	4.581980519	6.087358736
62.5	1.741071429	3.47999969	3.689123377	6.744822609
67.5	2.741261398	3.205868206	2.751623377	5.136483203
72.5	2.053571429	2.971380471	3.125	3.980076579
77.5	1.768617021	2.397787398	1.635551948	4.147521895
82.5	1.580547112	3.238917594	2.171266234	5.708984833
87.5	1.5625	3.126503127	2.276785714	3.450778919
92.5	1.5625	2.161476516	2.5	4.167666767
97.5	2.008928571	2.821649676	2.439123377	3.180710928
102.5	1.62518997	2.936507937	1.696428571	3.147748616
107.5	2.1875	1.774581452	2.1875	3.391462097
112.5	1.785714286	3.826358826	1.456980519	3.47392936
117.5	0.535714286	3.55517541	1.663961039	2.327339877
122.5	1.223404255	2.88747692	0.982142857	1.729499648
127.5	1.044832827	3.736171236	0.982142857	1.223949093
132.5	1.964285714	2.827662183	1.026785714	2.391774892
137.5	1.383928571	3.520613198	1.233766234	1.002886003
142.5	1.31268997	2.992094524	0.892857143	0.793650794
147.5	1.25	3.648970504	0.669642857	0.92091879
152.5	1.205357143	1.849136527	0.580357143	1.119331488
157.5	1.428571429	2.506012506	0.3125	0.634920635
162.5	1.339285714	3.032708033	0.803571429	1.255411255
167.5	1.026785714	2.769360269	0.519480519	1.252809122
172.5	0.625	2.873977874	0.669642857	1.227556596
177.5	0.9375	3.170375025	0.133928571	1.986137724
182.5	0.732332827	2.635882636	0.044642857	0.697253566
187.5	0.419832827	1.701228879	0.340909091	0.277777778
192.5	0.178571429	1.031746032	0.044642857	0
197.5	0	0	0	0
202.5	0	0	0	0
