RT_Stim	RT_Con trol	Monkey	Sig
169	136.4285714	1	0
189	185.6	1	0
198.3	193	1	0
253.5625	261.4375	1	0
149.0263158	169.5641026	1	0
124.95	147.875	1	1
165.125	181.95	1	0
130.8181818	157.7	1	1
97.75	138.1	1	1
161.35	171.45	1	0
170	161.025	1	0
165.3157895	185.1842105	1	1
172.575	185.1025641	1	0
160.75	203.1	1	1
135.6666667	139	2	0
122.925	154.3684211	2	1
128.95	158.975	2	1
130.3	149.35	2	1
140.55	138.55	2	0
198.675	211.075	2	0
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
