time	MeanFRStim	SemStim
-97.5	20	9.607689228
-92.5	20	9.607689228
-87.5	20	9.607689228
-82.5	20	9.607689228
-77.5	5	5
-72.5	15	8.435273923
-67.5	25	10.59148182
-62.5	15	8.435273923
-57.5	15	8.435273923
-52.5	20	9.607689228
-47.5	20	9.607689228
-42.5	10	6.979824405
-37.5	10	6.979824405
-32.5	30	11.4354375
-27.5	25	10.59148182
-22.5	30	11.4354375
-17.5	15	8.435273923
-12.5	25	10.59148182
-7.5	10	6.979824405
-2.5	30	11.4354375
2.5	590	6.979824405
7.5	405	5
12.5	275	15.50434182
17.5	325	15.50434182
22.5	290	15.93255014
27.5	250	13.86750491
32.5	280	15.68929081
37.5	260	14.67598771
42.5	260	14.67598771
47.5	265	15
52.5	280	15.68929081
57.5	250	15.60736184
62.5	250	15.60736184
67.5	260	14.67598771
72.5	260	14.67598771
77.5	250	15.60736184
82.5	250	13.86750491
87.5	250	15.60736184
92.5	260	14.67598771
97.5	235	12.16868617
102.5	105	15.99278684
107.5	0	0
112.5	0	0
117.5	0	0
122.5	0	0
127.5	0	0
132.5	0	0
137.5	0	0
142.5	0	0
147.5	0	0
152.5	0	0
157.5	0	0
162.5	0	0
167.5	5	5
172.5	5	5
177.5	5	5
182.5	5	5
187.5	0	0
192.5	10	6.979824405
197.5	5	5
202.5	5	5
