Time	FastExMean	SlowExMean	InhMean	FastExSem	SlowExSem	InhSem
-97.5	-0.009489737	-0.020267216	0.015922716	0.006032848	0.021425735	0.021966531
-92.5	0.00227261	0.006264691	-0.022326901	0.006555979	0.027183837	0.022273555
-87.5	-0.000152225	-0.020720816	-0.003198573	0.006410445	0.020731448	0.023741211
-82.5	0.010316417	-0.004697981	-0.000638303	0.007685095	0.02145742	0.02243197
-77.5	0.007681901	-0.027868717	-0.030372135	0.008001374	0.014588336	0.021054265
-72.5	-0.003855845	0.001215365	-0.004786568	0.005716377	0.018192134	0.023538044
-67.5	0.0002448	-0.00596597	-0.017546635	0.007027666	0.018248458	0.023010235
-62.5	0.002078625	0.024931385	0.023657992	0.007162244	0.022654448	0.023715371
-57.5	0.006216328	-0.012329596	-0.006000616	0.007479611	0.018048627	0.02111439
-52.5	0.002336283	0.01129414	0.018034471	0.006930775	0.021449188	0.023062821
-47.5	-0.001279277	0.013737089	-0.022721287	0.007399406	0.023425071	0.019969005
-42.5	0.001557302	0.007661259	0.019935714	0.006585531	0.019719975	0.022369484
-37.5	0.010969125	0.033559513	0.019280969	0.008345407	0.030433757	0.023101736
-32.5	0.005735161	0.005204309	-0.01585554	0.007087214	0.019652312	0.020420246
-27.5	0.004149259	0.052789019	-0.022873786	0.007560957	0.030824601	0.025291208
-22.5	0.003042485	2.34E-05	-0.016124477	0.008742126	0.020204567	0.021226908
-17.5	-0.00185186	-0.005360801	0.009499462	0.007371495	0.021528315	0.023042672
-12.5	0.00609372	-0.008713381	-0.01748642	0.006341632	0.029394967	0.025356487
-7.5	-0.013791194	-0.01445408	0.052011331	0.008176868	0.023816619	0.021191103
-2.5	-0.03227388	-0.03630157	0.021588587	0.005994487	0.018312182	0.028013324
2.5	0.589331298	0.091923307	-0.028003156	0.032103353	0.044606698	0.032715265
7.5	0.441502387	-0.005102566	-0.22981126	0.025296998	0.028547816	0.02595752
12.5	0.395577036	0.020629166	-0.276237168	0.023490012	0.031558542	0.019125469
17.5	0.352926928	0.057472287	-0.278057758	0.021081408	0.035270439	0.020886421
22.5	0.322341781	0.153402121	-0.307984125	0.019921241	0.050321496	0.016119182
27.5	0.296150438	0.238344101	-0.28952487	0.01840734	0.06009885	0.016479066
32.5	0.321756941	0.218618419	-0.272422143	0.016813554	0.045682739	0.017715378
37.5	0.301020949	0.315404423	-0.255219319	0.018790439	0.055126176	0.019664018
42.5	0.303182025	0.347088133	-0.197575842	0.017578729	0.05899893	0.020663068
47.5	0.277577477	0.375251594	-0.261829304	0.016237969	0.05333808	0.015959119
52.5	0.285524742	0.35915673	-0.235346994	0.015537519	0.046730489	0.019585169
57.5	0.270174391	0.277469012	-0.249434022	0.01674942	0.045736095	0.018394085
62.5	0.276555128	0.349376481	-0.240361964	0.016529187	0.0461505	0.021529356
67.5	0.285238282	0.276113935	-0.250758879	0.017314105	0.045948857	0.021504026
72.5	0.271448935	0.279630089	-0.232063819	0.017854938	0.040041019	0.023549428
77.5	0.268813681	0.353242796	-0.248150031	0.016927301	0.044037631	0.018672261
82.5	0.25700987	0.343707952	-0.245953148	0.016867059	0.040332975	0.02211456
87.5	0.258987612	0.26788037	-0.265742918	0.017481872	0.035954205	0.020293008
92.5	0.253764038	0.299660404	-0.260486439	0.017166139	0.044840749	0.01922146
97.5	0.247053761	0.302802375	-0.266282553	0.015935288	0.045434852	0.019404639
102.5	0.109271205	0.155956563	-0.217241537	0.014544405	0.044479526	0.025117833
107.5	-0.032422105	0.070518204	-0.206763487	0.01279067	0.037816335	0.023515918
112.5	-0.027398603	0.067091507	-0.157274186	0.012381559	0.04777428	0.024220575
117.5	-0.029011603	0.104101291	-0.126483202	0.010122132	0.042050667	0.026113899
122.5	-0.032085395	0.018780344	-0.098844569	0.010892398	0.026433189	0.026739397
127.5	-0.02472558	0.057003001	-0.032085612	0.010285347	0.034248337	0.032521626
132.5	-0.029216781	0.068127735	-0.000186622	0.008353205	0.038753682	0.032093272
137.5	-0.014369281	0.077878382	0.025436901	0.009676836	0.044272867	0.02821961
142.5	-0.012000483	0.043623458	0.025921174	0.009133811	0.034092577	0.032151818
147.5	-0.016913547	0.047787923	0.008310606	0.009324842	0.039162552	0.028759362
152.5	-0.017373463	0.014840731	0.025341474	0.007914581	0.028818992	0.02974648
157.5	-0.016084333	0.023826417	-0.016044151	0.008674688	0.035315995	0.027785787
162.5	-0.018707448	-0.035658605	0.04105096	0.008835085	0.024021805	0.026945949
167.5	-0.015644679	-0.010992602	-0.002559227	0.008230573	0.022304083	0.024327611
172.5	-0.01420602	-0.002742093	-0.006766656	0.010119893	0.031773945	0.028542966
177.5	-0.016238576	0.04750876	0.008068612	0.007605221	0.030422459	0.030110429
182.5	0.003669267	-0.005717576	-0.029827231	0.010434689	0.024850222	0.02256846
187.5	-0.010601128	0.016552106	-0.032474919	0.007864046	0.028091583	0.024748087
192.5	-0.003435942	-0.003728101	-0.02926417	0.008886139	0.033422542	0.027001652
197.5	-0.017235924	-0.02503816	-0.025714603	0.006909902	0.040415201	0.026029684
202.5	-0.009552739	0.009077982	-0.032552002	0.00718107	0.031610665	0.02348912
