Time	VisOnly	VisMov	Mov	VisSem	VisMSem	MovSem
-497.5	-0.340434052	-0.194864243	1.036637611	0.212336462	0.229753205	0.398228189
-492.5	-0.437970238	-0.285792866	0.964562547	0.188204642	0.21913136	0.394384469
-487.5	-0.534134331	-0.337336764	0.889985639	0.167008763	0.213502544	0.382813352
-482.5	-0.605173739	-0.327361663	0.847684808	0.158865426	0.215818099	0.377650614
-477.5	-0.651153082	-0.272438961	0.863522394	0.162649819	0.223492676	0.383117713
-472.5	-0.673226722	-0.204522653	0.935946924	0.168000861	0.230382251	0.395818635
-467.5	-0.660211241	-0.145484905	1.037305401	0.167352168	0.230544983	0.411325229
-462.5	-0.602088703	-0.102677856	1.131761948	0.164442441	0.223110346	0.418875566
-457.5	-0.508825409	-0.079401713	1.198719147	0.172145791	0.213841916	0.419587609
-452.5	-0.40776572	-0.078424321	1.241306407	0.205353207	0.210404287	0.43285859
-447.5	-0.324172714	-0.094101694	1.276192099	0.265805858	0.21538901	0.464577148
-442.5	-0.267911801	-0.110645585	1.321517395	0.334263589	0.226163092	0.493924546
-437.5	-0.234365063	-0.114278203	1.391509052	0.3852325	0.239349235	0.510040145
-432.5	-0.214513699	-0.103264623	1.486174887	0.403767259	0.253210341	0.550409844
-427.5	-0.206433454	-0.084597863	1.571045161	0.389573058	0.266927933	0.628634408
-422.5	-0.216402702	-0.067620474	1.580031075	0.353946763	0.277615582	0.673206889
-417.5	-0.249540565	-0.062219042	1.469973792	0.313699172	0.280989069	0.637522534
-412.5	-0.302906987	-0.075983602	1.274751199	0.279733989	0.276487368	0.554343335
-407.5	-0.360817429	-0.109021756	1.082665002	0.254511094	0.268254585	0.478739217
-402.5	-0.391188024	-0.150157373	0.961500742	0.245010309	0.260337945	0.437235416
-397.5	-0.362375266	-0.176781145	0.921377147	0.268619674	0.254442023	0.421329539
-392.5	-0.280207686	-0.164927609	0.937357317	0.333904696	0.252291492	0.40778632
-387.5	-0.198431845	-0.110345898	0.977730838	0.408988465	0.254758897	0.395096091
-382.5	-0.173374544	-0.040365747	1.010439282	0.441592833	0.257928078	0.396610954
-377.5	-0.210506299	0.00308223	1.017027299	0.412553364	0.256889109	0.402966163
-372.5	-0.269881038	-0.003389869	1.02234279	0.346527672	0.253048635	0.397493345
-367.5	-0.31831484	-0.048197966	1.090989496	0.277996341	0.252075262	0.382920349
-362.5	-0.357028204	-0.098699726	1.26351789	0.22415734	0.255660031	0.373992386
-357.5	-0.400484144	-0.127748565	1.491535307	0.188657165	0.258520211	0.383589245
-352.5	-0.448285676	-0.128579667	1.653810231	0.172734573	0.255157191	0.408051318
-347.5	-0.482919394	-0.112690798	1.649818538	0.171916655	0.247221656	0.431111053
-342.5	-0.485618413	-0.100531313	1.480219475	0.177783186	0.240535484	0.440589912
-337.5	-0.453877954	-0.110158025	1.241637538	0.186813475	0.236981533	0.436893933
-332.5	-0.409431929	-0.144006213	1.049667561	0.19582379	0.233775478	0.430951521
-327.5	-0.384280935	-0.182301239	0.961701931	0.197890409	0.229842655	0.426979675
-322.5	-0.389746475	-0.194056883	0.957264538	0.190002302	0.228490454	0.415646299
-317.5	-0.405059994	-0.160192527	0.974749639	0.181060187	0.232660229	0.389684432
-312.5	-0.406267616	-0.087542544	0.966041603	0.183850978	0.240523525	0.356979046
-307.5	-0.397131871	-0.001391271	0.931688436	0.201344774	0.247855794	0.338101086
-302.5	-0.398672118	0.07050363	0.9110637	0.227482226	0.25250717	0.344628042
-297.5	-0.415070746	0.106439453	0.935631404	0.252034236	0.254391062	0.363264769
-292.5	-0.424274252	0.098996068	0.995272148	0.27203471	0.252751708	0.372984456
-287.5	-0.406609113	0.066882602	1.05165432	0.292653261	0.248246281	0.37041854
-282.5	-0.374433313	0.046080049	1.074527062	0.308899854	0.245685155	0.369408298
-277.5	-0.36051306	0.055532432	1.061992564	0.30399213	0.248457977	0.372113978
-272.5	-0.379026388	0.081569792	1.035387316	0.272404047	0.254012794	0.365489405
-267.5	-0.414487228	0.103014581	1.016665027	0.229247377	0.259106465	0.34727635
-262.5	-0.44976351	0.114457779	1.006797062	0.192495719	0.264416462	0.328232346
-257.5	-0.485967535	0.117310777	0.993172853	0.167694586	0.270174958	0.317009123
-252.5	-0.527858381	0.108160728	0.981322584	0.153459198	0.271866111	0.313967256
-247.5	-0.565217442	0.087428288	1.005613419	0.150755062	0.265362999	0.316431484
-242.5	-0.583132154	0.065814203	1.100923835	0.156950222	0.252936586	0.328385209
-237.5	-0.585886081	0.053784776	1.270581865	0.163294531	0.240600921	0.350567251
-232.5	-0.596706128	0.052360499	1.479619719	0.166479829	0.231790827	0.371604474
-227.5	-0.631889342	0.056804669	1.664681793	0.16679847	0.226820571	0.388634286
-222.5	-0.684446955	0.063020049	1.755360153	0.162842214	0.225261533	0.403934385
-217.5	-0.734217304	0.068898266	1.717432106	0.157463861	0.226451518	0.408254452
-212.5	-0.764747668	0.073829604	1.589027156	0.156429652	0.229446436	0.394036139
-207.5	-0.768638978	0.078747225	1.452546436	0.157949448	0.23252139	0.375110263
-202.5	-0.746310497	0.085053396	1.360931833	0.156884339	0.234256951	0.373704811
-197.5	-0.706570147	0.094103097	1.308370852	0.153949673	0.235856526	0.385153904
-192.5	-0.664641423	0.11029916	1.269691052	0.151801449	0.240321664	0.391620417
-187.5	-0.631751996	0.142730431	1.237427353	0.151055587	0.247829409	0.394256109
-182.5	-0.604908029	0.197873667	1.214252134	0.153415516	0.253459999	0.401463376
-177.5	-0.571790686	0.268084787	1.199926108	0.159568444	0.252428482	0.410277668
-172.5	-0.527889258	0.330352312	1.202257259	0.163739617	0.246589628	0.415722753
-167.5	-0.486184988	0.361141695	1.240085035	0.158852598	0.243326199	0.419575105
-162.5	-0.469596664	0.354548196	1.31715584	0.145371351	0.248382295	0.423999131
-157.5	-0.49363107	0.32777539	1.405411766	0.131165735	0.259873586	0.428313415
-152.5	-0.550843575	0.313233164	1.470390165	0.125102866	0.27162706	0.428866122
-147.5	-0.611119627	0.34296886	1.506420521	0.131435126	0.282276213	0.423337884
-142.5	-0.646818272	0.428532667	1.538314002	0.146362179	0.296740705	0.41600336
-137.5	-0.661391962	0.548958354	1.599383631	0.159355496	0.31767552	0.414516723
-132.5	-0.682505883	0.662750332	1.710514711	0.161340239	0.338009179	0.421792033
-127.5	-0.723458593	0.736283952	1.861765598	0.154241833	0.346976292	0.431447226
-122.5	-0.764316904	0.761972244	2.012529024	0.149245338	0.341013206	0.432427236
-117.5	-0.774992661	0.754492554	2.132194001	0.153407322	0.324852287	0.422365834
-112.5	-0.745358549	0.738109619	2.242779119	0.164675696	0.305791057	0.416781801
-107.5	-0.691841001	0.736538215	2.396632185	0.175621889	0.28952167	0.433291108
-102.5	-0.644673082	0.76303964	2.602010773	0.178190917	0.279534196	0.469903012
-97.5	-0.626800581	0.814333509	2.791704328	0.171961028	0.277155883	0.509529593
-92.5	-0.637678653	0.878015732	2.887324275	0.166249964	0.282173843	0.546667242
-87.5	-0.660292561	0.945159466	2.886429941	0.168872226	0.294289017	0.594680658
-82.5	-0.684157066	1.011473288	2.864466622	0.178003538	0.312567053	0.655343449
-77.5	-0.71161524	1.072142333	2.896527062	0.185390175	0.333471866	0.702831824
-72.5	-0.740502989	1.125079906	2.999655753	0.185708203	0.351269873	0.713060983
-67.5	-0.753297721	1.177388712	3.146878177	0.183496155	0.362880181	0.685318938
