Time	VisOnly	VisMov	Mov	VisSem	VisMSem	MovSem
-297.5	-0.462981532	-1.018397039	0.152405321	0.112725058	0.139535279	0.177450987
-292.5	-0.489744444	-1.009213248	0.204226061	0.10993107	0.135661105	0.178165571
-287.5	-0.519836502	-0.979765677	0.210366474	0.1078178	0.135847293	0.197160277
-282.5	-0.541650604	-0.949581247	0.154940488	0.108669659	0.138640387	0.207799091
-277.5	-0.556270204	-0.938982647	0.05998816	0.112322349	0.143143714	0.193333704
-272.5	-0.57073791	-0.956263313	-0.027016961	0.118511472	0.14614816	0.164045834
-267.5	-0.591168638	-0.992154466	-0.066358812	0.12477619	0.144078173	0.144360958
-262.5	-0.617453555	-1.027570218	-0.050639113	0.12607589	0.137795641	0.151263989
-257.5	-0.639856216	-1.049302121	-0.005073762	0.120568495	0.130973144	0.177803868
-252.5	-0.643965914	-1.055660216	0.038264446	0.111522818	0.125414597	0.201193234
-247.5	-0.622540012	-1.049593196	0.066421861	0.108314404	0.120180151	0.209136122
-242.5	-0.581432833	-1.03562781	0.081347724	0.118944411	0.114682769	0.203447006
-237.5	-0.536572556	-1.023546115	0.080537442	0.137973578	0.110069762	0.190235898
-232.5	-0.50866898	-1.023818892	0.05926807	0.153336069	0.107452697	0.176669044
-227.5	-0.512435432	-1.035019536	0.027706109	0.157207017	0.107067054	0.168023892
-222.5	-0.541777554	-1.043372346	0.007882422	0.151887295	0.108399891	0.168611243
-217.5	-0.573102361	-1.038334355	0.009613204	0.144630195	0.110521397	0.17903325
-212.5	-0.59015396	-1.022799775	0.017896475	0.137215436	0.11271844	0.188918246
-207.5	-0.595243559	-1.006252324	0.00981306	0.127933672	0.114447849	0.192791925
-202.5	-0.591328923	-0.993910488	-0.01552035	0.116634423	0.115369794	0.199055855
-197.5	-0.570064235	-0.984682559	-0.027037147	0.107836008	0.115575042	0.216691843
-192.5	-0.529966317	-0.975550048	0.011813143	0.109591124	0.116001101	0.243615076
-187.5	-0.49308615	-0.965733637	0.105109285	0.117119869	0.118846656	0.268687451
-182.5	-0.486861981	-0.957231217	0.218927738	0.11608826	0.124529566	0.280001745
-177.5	-0.513513968	-0.951485435	0.314320232	0.103338482	0.130361165	0.272585461
-172.5	-0.548448103	-0.946838259	0.376760371	0.089322057	0.134446679	0.252897716
-167.5	-0.565891949	-0.941254328	0.410797157	0.087755791	0.136999798	0.232451332
-162.5	-0.557337107	-0.937304194	0.418387915	0.099473628	0.138777714	0.214713735
-157.5	-0.528573088	-0.943010654	0.392960937	0.114538198	0.139478983	0.199174156
-152.5	-0.492210444	-0.965794538	0.330942172	0.123617071	0.13748263	0.192160715
-147.5	-0.466953851	-1.002681283	0.242880318	0.122618155	0.132156313	0.198896781
-142.5	-0.470576924	-1.036668675	0.15329143	0.115466891	0.126082251	0.213190719
-137.5	-0.500654605	-1.047447171	0.088490079	0.110037051	0.122831116	0.222232855
-132.5	-0.528278441	-1.028632449	0.06059238	0.108915919	0.122497966	0.219984865
-127.5	-0.524254698	-0.993188413	0.061359416	0.108859532	0.123446366	0.212034548
-122.5	-0.49028946	-0.961763229	0.070356374	0.106843703	0.125390766	0.201805411
-117.5	-0.453471819	-0.948003789	0.068842277	0.102205581	0.127991621	0.185804198
-112.5	-0.431428768	-0.953804093	0.049935896	0.100297133	0.129732088	0.171918889
-107.5	-0.415824972	-0.97152087	0.022392003	0.109623594	0.12868251	0.175504218
-102.5	-0.391967391	-0.986913382	0.009091031	0.126514348	0.1249546	0.190857741
-97.5	-0.361686766	-0.985890344	0.037483014	0.138213118	0.121088083	0.204439954
-92.5	-0.339705323	-0.964962496	0.1165553	0.13602647	0.119378402	0.218904721
-87.5	-0.333190988	-0.93396628	0.212394333	0.119690883	0.121003835	0.237708232
-82.5	-0.33226005	-0.905939783	0.259050944	0.104468026	0.126178799	0.246039322
-77.5	-0.32284385	-0.885741601	0.216573274	0.115704459	0.132497822	0.229844881
-72.5	-0.304533079	-0.868557603	0.117079393	0.140791186	0.13508604	0.199458749
-67.5	-0.288748052	-0.845282918	0.035323744	0.152027686	0.132647853	0.182575868
-62.5	-0.281627332	-0.808570464	0.01717411	0.149945502	0.130975133	0.192091885
-57.5	-0.279905208	-0.75951779	0.052757571	0.148913409	0.135835639	0.210807668
-52.5	-0.285989966	-0.712207074	0.109825962	0.149163811	0.143525692	0.220558851
-47.5	-0.314427732	-0.688139083	0.16935129	0.144568486	0.14501777	0.219461591
-42.5	-0.372821897	-0.70115262	0.226107881	0.136792226	0.136254536	0.215733754
-37.5	-0.442342946	-0.745984111	0.269176391	0.131849454	0.1211429	0.216067347
-32.5	-0.490163992	-0.801180391	0.274123673	0.134335313	0.109519992	0.21500925
-27.5	-0.502673467	-0.842721718	0.224338011	0.141272749	0.108732939	0.201591164
-22.5	-0.49661495	-0.856507688	0.142156151	0.14455656	0.115411114	0.178130007
-17.5	-0.493245498	-0.843344398	0.08522938	0.140260741	0.12445559	0.156114142
-12.5	-0.49037732	-0.817780469	0.09943626	0.132340413	0.134570206	0.14277878
-7.5	-0.469552578	-0.801593278	0.176034662	0.127730398	0.143042646	0.145201614
-2.5	-0.426436764	-0.812120459	0.258831453	0.12607701	0.145351046	0.162612372
2.5	-0.380301921	-0.850793864	0.294108353	0.12102744	0.139411974	0.181924461
7.5	-0.349248819	-0.900046735	0.274063145	0.113750426	0.12822842	0.190652841
