time	firingrate	sem
-97.5	35	12.16868617
-92.5	10	6.979824405
-87.5	35	14.11945376
-82.5	25	10.59148182
-77.5	30	11.4354375
-72.5	20	9.607689228
-67.5	30	13.49263807
-62.5	25	12.7852078
-57.5	25	12.7852078
-52.5	25	12.7852078
-47.5	25	10.59148182
-42.5	25	10.59148182
-37.5	25	10.59148182
-32.5	20	9.607689228
-27.5	20	9.607689228
-22.5	40	12.8102523
-17.5	30	11.4354375
-12.5	25	10.59148182
-7.5	30	13.49263807
-2.5	40	12.8102523
2.5	465	25.20429349
7.5	340	21.72083957
12.5	260	19.21537846
17.5	195	23.19095757
22.5	235	14.11945376
27.5	170	19.67687697
32.5	190	18.87883091
37.5	140	16.32993162
42.5	170	15.27525232
47.5	185	15
52.5	175	19.19869119
57.5	150	19.93579438
62.5	185	19.46397066
67.5	145	17.52287882
72.5	155	15.1699771
77.5	145	18.92969449
82.5	140	20.50640925
87.5	180	17.24632997
92.5	155	16.77528707
97.5	120	18.67399124
102.5	45	13.37333742
107.5	0	0
112.5	0	0
117.5	0	0
122.5	0	0
127.5	0	0
132.5	5	5
137.5	0	0
142.5	10	6.979824405
147.5	10	6.979824405
152.5	5	5
157.5	20	9.607689228
162.5	20	9.607689228
167.5	40	12.8102523
172.5	20	9.607689228
177.5	20	9.607689228
182.5	20	9.607689228
187.5	20	9.607689228
192.5	40	12.8102523
197.5	10	6.979824405
202.5	40	12.8102523
